"Time (EpSec)","x (km)","y (km)","z (km)"
2541,-3674.846677549,42003.689729014,0.000000000
2542,-3674.846677549,42003.689729014,0.000000000
2543,-3674.846677549,42003.689729014,0.000000000
2544,-3674.846677549,42003.689729014,0.000000000
2545,-3674.846677549,42003.689729014,0.000000000
2546,-3674.846677549,42003.689729014,0.000000000
2547,-3674.846677549,42003.689729014,0.000000000
2548,-3674.846677549,42003.689729014,0.000000000
2549,-3674.846677549,42003.689729014,0.000000000
2550,-3674.846677549,42003.689729014,0.000000000
2551,-3674.846677549,42003.689729014,0.000000000
2552,-3674.846677549,42003.689729014,0.000000000
2553,-3674.846677549,42003.689729014,0.000000000
2554,-3674.846677549,42003.689729014,0.000000000
2555,-3674.846677549,42003.689729014,0.000000000
2556,-3674.846677549,42003.689729014,0.000000000
2557,-3674.846677549,42003.689729014,0.000000000
2558,-3674.846677549,42003.689729014,0.000000000
2559,-3674.846677549,42003.689729014,0.000000000
2560,-3674.846677549,42003.689729014,0.000000000
2561,-3674.846677549,42003.689729014,0.000000000
2562,-3674.846677549,42003.689729014,0.000000000
2563,-3674.846677549,42003.689729014,0.000000000
2564,-3674.846677549,42003.689729014,0.000000000
2565,-3674.846677549,42003.689729014,0.000000000
2566,-3674.846677549,42003.689729014,0.000000000
2567,-3674.846677549,42003.689729014,0.000000000
2568,-3674.846677549,42003.689729014,0.000000000
2569,-3674.846677549,42003.689729014,0.000000000
2570,-3674.846677549,42003.689729014,0.000000000
2571,-3674.846677549,42003.689729014,0.000000000
2572,-3674.846677549,42003.689729014,0.000000000
2573,-3674.846677549,42003.689729014,0.000000000
2574,-3674.846677549,42003.689729014,0.000000000
2575,-3674.846677549,42003.689729014,0.000000000
2576,-3674.846677549,42003.689729014,0.000000000
2577,-3674.846677549,42003.689729014,0.000000000
2578,-3674.846677549,42003.689729014,0.000000000
2579,-3674.846677549,42003.689729014,0.000000000
2580,-3674.846677549,42003.689729014,0.000000000
2581,-3674.846677549,42003.689729014,0.000000000
2582,-3674.846677549,42003.689729014,0.000000000
2583,-3674.846677549,42003.689729014,0.000000000
2584,-3674.846677549,42003.689729014,0.000000000
2585,-3674.846677549,42003.689729014,0.000000000
2586,-3674.846677549,42003.689729014,0.000000000
2587,-3674.846677549,42003.689729014,0.000000000
2588,-3674.846677549,42003.689729014,0.000000000
2589,-3674.846677549,42003.689729014,0.000000000
2590,-3674.846677549,42003.689729014,0.000000000
2591,-3674.846677549,42003.689729014,0.000000000
2592,-3674.846677549,42003.689729014,0.000000000
2593,-3674.846677549,42003.689729014,0.000000000
2594,-3674.846677549,42003.689729014,0.000000000
2595,-3674.846677549,42003.689729014,0.000000000
2596,-3674.846677549,42003.689729014,0.000000000
2597,-3674.846677549,42003.689729014,0.000000000
2598,-3674.846677549,42003.689729014,0.000000000
2599,-3674.846677549,42003.689729014,0.000000000
2600,-3674.846677549,42003.689729014,0.000000000
2601,-3674.846677549,42003.689729014,0.000000000
2602,-3674.846677549,42003.689729014,0.000000000
2603,-3674.846677549,42003.689729014,0.000000000
2604,-3674.846677549,42003.689729014,0.000000000
2605,-3674.846677549,42003.689729014,0.000000000
2606,-3674.846677549,42003.689729014,0.000000000
2607,-3674.846677549,42003.689729014,0.000000000
2608,-3674.846677549,42003.689729014,0.000000000
2609,-3674.846677549,42003.689729014,0.000000000
2610,-3674.846677549,42003.689729014,0.000000000
2611,-3674.846677549,42003.689729014,0.000000000
2612,-3674.846677549,42003.689729014,0.000000000
2613,-3674.846677549,42003.689729014,0.000000000
2614,-3674.846677549,42003.689729014,0.000000000
2615,-3674.846677549,42003.689729014,0.000000000
2616,-3674.846677549,42003.689729014,0.000000000
2617,-3674.846677549,42003.689729014,0.000000000
2618,-3674.846677549,42003.689729014,0.000000000
2619,-3674.846677549,42003.689729014,0.000000000
2620,-3674.846677549,42003.689729014,0.000000000
2621,-3674.846677549,42003.689729014,0.000000000
2622,-3674.846677549,42003.689729014,0.000000000
2623,-3674.846677549,42003.689729014,0.000000000
2624,-3674.846677549,42003.689729014,0.000000000
2625,-3674.846677549,42003.689729014,0.000000000
2626,-3674.846677549,42003.689729014,0.000000000
2627,-3674.846677549,42003.689729014,0.000000000
2628,-3674.846677549,42003.689729014,0.000000000
2629,-3674.846677549,42003.689729014,0.000000000
2630,-3674.846677549,42003.689729014,0.000000000
2631,-3674.846677549,42003.689729014,0.000000000
2632,-3674.846677549,42003.689729014,0.000000000
2633,-3674.846677549,42003.689729014,0.000000000
2634,-3674.846677549,42003.689729014,0.000000000
2635,-3674.846677549,42003.689729014,0.000000000
2636,-3674.846677549,42003.689729014,0.000000000
2637,-3674.846677549,42003.689729014,0.000000000
2638,-3674.846677549,42003.689729014,0.000000000
2639,-3674.846677549,42003.689729014,0.000000000
2640,-3674.846677549,42003.689729014,0.000000000
2641,-3674.846677549,42003.689729014,0.000000000
2642,-3674.846677549,42003.689729014,0.000000000
2643,-3674.846677549,42003.689729014,0.000000000
2644,-3674.846677549,42003.689729014,0.000000000
2645,-3674.846677549,42003.689729014,0.000000000
2646,-3674.846677549,42003.689729014,0.000000000
2647,-3674.846677549,42003.689729014,0.000000000
2648,-3674.846677549,42003.689729014,0.000000000
2649,-3674.846677549,42003.689729014,0.000000000
2650,-3674.846677549,42003.689729014,0.000000000
2651,-3674.846677549,42003.689729014,0.000000000
2652,-3674.846677549,42003.689729014,0.000000000
2653,-3674.846677549,42003.689729014,0.000000000
2654,-3674.846677549,42003.689729014,0.000000000
2655,-3674.846677549,42003.689729014,0.000000000
2656,-3674.846677549,42003.689729014,0.000000000
2657,-3674.846677549,42003.689729014,0.000000000
2658,-3674.846677549,42003.689729014,0.000000000
2659,-3674.846677549,42003.689729014,0.000000000
2660,-3674.846677549,42003.689729014,0.000000000
2661,-3674.846677549,42003.689729014,0.000000000
2662,-3674.846677549,42003.689729014,0.000000000
2663,-3674.846677549,42003.689729014,0.000000000
2664,-3674.846677549,42003.689729014,0.000000000
2665,-3674.846677549,42003.689729014,0.000000000
2666,-3674.846677549,42003.689729014,0.000000000
2667,-3674.846677549,42003.689729014,0.000000000
2668,-3674.846677549,42003.689729014,0.000000000
2669,-3674.846677549,42003.689729014,0.000000000
2670,-3674.846677549,42003.689729014,0.000000000
2671,-3674.846677549,42003.689729014,0.000000000
2672,-3674.846677549,42003.689729014,0.000000000
2673,-3674.846677549,42003.689729014,0.000000000
2674,-3674.846677549,42003.689729014,0.000000000
2675,-3674.846677549,42003.689729014,0.000000000
2676,-3674.846677549,42003.689729014,0.000000000
2677,-3674.846677549,42003.689729014,0.000000000
2678,-3674.846677549,42003.689729014,0.000000000
2679,-3674.846677549,42003.689729014,0.000000000
2680,-3674.846677549,42003.689729014,0.000000000
2681,-3674.846677549,42003.689729014,0.000000000
2682,-3674.846677549,42003.689729014,0.000000000
2683,-3674.846677549,42003.689729014,0.000000000
2684,-3674.846677549,42003.689729014,0.000000000
2685,-3674.846677549,42003.689729014,0.000000000
2686,-3674.846677549,42003.689729014,0.000000000
2687,-3674.846677549,42003.689729014,0.000000000
2688,-3674.846677549,42003.689729014,0.000000000
2689,-3674.846677549,42003.689729014,0.000000000
2690,-3674.846677549,42003.689729014,0.000000000
2691,-3674.846677549,42003.689729014,0.000000000
2692,-3674.846677549,42003.689729014,0.000000000
2693,-3674.846677549,42003.689729014,0.000000000
2694,-3674.846677549,42003.689729014,0.000000000
2695,-3674.846677549,42003.689729014,0.000000000
2696,-3674.846677549,42003.689729014,0.000000000
2697,-3674.846677549,42003.689729014,0.000000000
2698,-3674.846677549,42003.689729014,0.000000000
2699,-3674.846677549,42003.689729014,0.000000000
2700,-3674.846677549,42003.689729014,0.000000000
2701,-3674.846677549,42003.689729014,0.000000000
2702,-3674.846677549,42003.689729014,0.000000000
2703,-3674.846677549,42003.689729014,0.000000000
2704,-3674.846677549,42003.689729014,0.000000000
2705,-3674.846677549,42003.689729014,0.000000000
2706,-3674.846677549,42003.689729014,0.000000000
2707,-3674.846677549,42003.689729014,0.000000000
2708,-3674.846677549,42003.689729014,0.000000000
2709,-3674.846677549,42003.689729014,0.000000000
2710,-3674.846677549,42003.689729014,0.000000000
2711,-3674.846677549,42003.689729014,0.000000000
2712,-3674.846677549,42003.689729014,0.000000000
2713,-3674.846677549,42003.689729014,0.000000000
2714,-3674.846677549,42003.689729014,0.000000000
2715,-3674.846677549,42003.689729014,0.000000000
2716,-3674.846677549,42003.689729014,0.000000000
2717,-3674.846677549,42003.689729014,0.000000000
2718,-3674.846677549,42003.689729014,0.000000000
2719,-3674.846677549,42003.689729014,0.000000000
2720,-3674.846677549,42003.689729014,0.000000000
2721,-3674.846677549,42003.689729014,0.000000000
2722,-3674.846677549,42003.689729014,0.000000000
2723,-3674.846677549,42003.689729014,0.000000000
2724,-3674.846677549,42003.689729014,0.000000000
2725,-3674.846677549,42003.689729014,0.000000000
2726,-3674.846677549,42003.689729014,0.000000000
2727,-3674.846677549,42003.689729014,0.000000000
2728,-3674.846677549,42003.689729014,0.000000000
2729,-3674.846677549,42003.689729014,0.000000000
2730,-3674.846677549,42003.689729014,0.000000000
2731,-3674.846677549,42003.689729014,0.000000000
2732,-3674.846677549,42003.689729014,0.000000000
2733,-3674.846677549,42003.689729014,0.000000000
2734,-3674.846677549,42003.689729014,0.000000000
2735,-3674.846677549,42003.689729014,0.000000000
2736,-3674.846677549,42003.689729014,0.000000000
2737,-3674.846677549,42003.689729014,0.000000000
2738,-3674.846677549,42003.689729014,0.000000000
2739,-3674.846677549,42003.689729014,0.000000000
2740,-3674.846677549,42003.689729014,0.000000000
